UniID,Institution_Name,City,Year,Student_to_faculty_ratio,Full_Time_Staff_per_Student,Average_salary_of_full_time_professors,Percent_of_undergraduate_enrollment_Age_18_to_24,Percent_of_full_time_first_time_undergraduates_awarded_any_financial_aid,Total_price_for_in_state_students_living_on_campus ,Percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses,Percent_admitted ,Published_in_state_tuition_and_fees,Books_and_supplies,Undergraduate_application_fee,SAT_Math_50th_percentile_score,SAT_Reading_and_Writing_50th_percentile_score,Full_time_retention_rate
228796,The University of Texas at El Paso,El Paso,21-22,20,0.1084,118410,78,91,24254,11,100,9744,1632,0,536.17,543.96,70
229027,The University of Texas at San Antonio,San Antonio,21-22,26,0.0978,128246,83,85,23474,26,90,9231,1000,70,555,565,78
228802,The University of Texas at Tyler,Tyler,21-22,17,0.2573,112737,71,83,23932,18,94,9596,1650,60,570,575,62
229018,The University of Texas Permian Basin,Odessa,21-22,13,0.1305,95030,55,99,25644,45,65,8806,1684,40,510,520,67
227368,The University of Texas Rio Grande Valley,Edinburg,21-22,20,0.1270,101902,68,98,22378,22,94,9541,1240,0,536.17,543.96,72
225511,University of Houston,Houston,21-22,21,0.1095,161357,81,83,25077,12,66,9699,1367,75,620,615,85
225414,University of Houston-Clear Lake,Houston,21-22,17,0.0868,106797,57,80,29002,14,91,7698,1316,45,535,539,74
225432,University of Houston-Downtown,Houston,21-22,19,0.0747,99751,53,88,24066.17,38,95,7708,1296,50,536.17,543.96,64
225502,University of Houston-Victoria,Victoria,21-22,15,0.1072,104579,52,95,22139,56,53,7499,1158,25,536.17,543.96,59
227216,University of North Texas,Denton,21-22,25,0.0898,128991,83,95,25580,10,81,11090,1000,75,555,570,79
484905,University of North Texas at Dallas,Dallas,21-22,14,0.1019,90074,61,98,24154,13,90,9518,1500,0,470,470,70
229814,West Texas A & M University,Canyon,21-22,17,0.0901,90407,78,91,24206,25,97,9202,1200,55,539,545,58
222831,Angelo State University,San Angelo,20-21,21,0.0797,83750,58,97,22017,7,78,7907,1200,40,505,515,71
226091,Lamar University,Beaumont,20-21,19,0.0788,104054,74.57,90,23743,24,83,8591,1200,25,515,526.5,69
226833,Midwestern State University,Wichita Falls,20-21,17,0.1167,94664,74.57,99,22336,21,71,9796,1050,40,495,510,66
227526,Prairie View A & M University,Prairie View,20-21,17,0.1321,105384,91,97,25664,31,76,11099,1362,40,475,480,74
227881,Sam Houston State University,Huntsville,20-21,21,0.1052,100115,83,84,23652,14,92,8736,1380,45,515,530,79
228431,Stephen F Austin State University,Nacogdoches,20-21,16,0.1190,87934,80,95,25118,46,76,10600,1202,45,525,540,77
228501,Sul Ross State University,Alpine,20-21,11,0.1633,73911,68,90,24531,19,81,8777,1242,50,470,478.5,52
228529,Tarleton State University,Stephenville,20-21,21,0.0791,94729,78,93,21849,100,58,8276,1036,50,505,525,69
